Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
74,67.2,12.0,9.2,43.8,78.5,20.4,44.7,21.0,38.6,46.3
75,23.6,13.4,9.5,55.6,59.0,25.6,52.5,22.0,35.6,36.4
76,42.1,15.4,9.4,45.9,55.7,51.4,53.0,21.5,29.7,25.4
77,41.4,22.7,8.9,46.9,69.4,41.7,46.3,23.8,35.6,23.1
78,32.8,19.7,9.3,56.6,81.4,46.4,44.7,19.9,31.7,23.5
79,38.4,15.7,9.2,54.5,94.1,49.7,35.0,19.1,22.8,31.6
80,30.2,14.8,9.0,50.9,79.8,50.5,38.8,19.3,33.4,30.7
81,23.2,13.8,9.7,51.9,61.3,55.5,33.6,19.3,30.0,42.7
82,17.4,13.6,9.2,48.9,77.3,56.0,44.3,18.7,33.7,41.5
83,16.9,14.2,9.1,46.4,64.8,48.3,26.4,18.8,38.9,46.2
84,19.1,18.1,9.2,56.9,59.5,61.8,17.9,18.6,38.4,28.8
85,29.5,13.2,9.3,44.4,52.6,34.9,24.9,18.6,32.6,32.4
86,44.6,18.5,9.1,49.5,74.4,36.3,27.6,19.0,37.9,47.4
87,50.3,13.4,9.6,53.9,83.3,41.0,33.9,20.5,41.5,60.6
88,44.5,12.2,9.9,47.6,82.0,46.1,39.3,20.2,28.8,41.0
89,25.1,11.0,9.1,51.3,88.9,58.3,41.3,20.3,35.4,23.0
90,41.2,9.5,9.8,46.2,49.8,60.2,51.0,19.9,24.2,19.2
91,13.9,9.4,10.0,49.4,48.9,51.5,41.5,21.2,27.7,19.5
92,10.2,10.4,10.1,58.1,53.4,50.0,37.9,20.2,24.1,19.1
93,55.8,8.9,9.6,64.8,46.4,65.3,40.2,22.2,24.3,21.4
94,12.3,9.6,10.3,56.9,64.9,62.7,31.5,23.8,26.0,23.6
95,8.9,11.3,10.1,48.1,65.8,69.5,28.3,24.4,28.9,24.1
96,9.1,9.7,10.2,42.5,55.5,64.9,25.8,27.8,31.6,22.3
97,23.9,25.2,10.1,35.3,44.2,85.0,30.7,28.3,26.8,19.2
98,56.4,39.0,10.7,37.9,54.2,71.9,31.0,33.1,35.1,18.0
99,46.4,27.0,10.4,54.4,58.2,85.1,27.7,36.2,32.3,18.9
100,51.7,25.7,10.5,44.9,74.2,74.0,40.6,38.1,35.4,19.6
101,52.1,32.5,10.5,33.0,69.8,52.1,26.3,38.5,37.5,20.3
102,38.1,31.6,10.7,26.7,60.2,54.1,31.4,44.5,42.2,19.2
103,27.9,12.9,11.0,36.9,51.0,52.4,38.2,44.9,43.4,20.5
104,31.1,31.0,11.1,41.7,43.1,57.8,32.1,56.1,45.4,27.6
105,42.1,21.1,11.6,45.8,29.6,49.0,26.5,63.8,46.2,23.7
106,52.8,33.5,10.8,46.7,48.5,48.8,29.5,50.8,39.2,25.1
107,39.4,33.7,11.1,46.2,52.3,54.1,23.3,46.6,39.3,21.8
108,42.6,42.1,11.6,51.2,49.4,41.3,27.0,54.4,31.1,18.9
109,43.4,28.3,12.2,55.3,49.9,53.2,38.1,34.2,31.8,24.0
110,53.3,22.2,12.3,47.1,53.6,55.8,39.3,40.0,28.3,47.9
111,26.2,9.6,11.8,45.0,34.9,63.9,29.4,41.1,30.2,25.9
112,41.0,12.6,11.4,39.7,27.0,55.3,37.3,43.3,26.9,18.1
113,44.7,9.1,11.7,36.1,35.3,60.9,35.0,41.3,28.9,17.7
114,49.9,9.3,12.7,29.1,40.2,51.0,39.3,42.8,22.6,18.8
115,45.0,9.2,12.9,41.5,46.1,53.8,31.5,42.3,25.7,24.1
116,43.6,9.3,12.9,44.3,44.4,61.9,44.6,45.3,34.5,22.7
117,39.8,9.6,12.4,61.0,45.2,53.3,48.9,49.1,43.4,21.9
118,36.3,9.5,13.3,51.5,30.5,55.1,31.2,55.8,38.9,20.3
119,46.7,9.5,12.7,51.5,20.7,50.0,41.6,51.1,38.2,18.7
120,43.0,8.9,14.1,38.6,18.6,68.0,59.8,52.4,32.9,19.4
121,38.2,9.7,13.7,38.2,22.1,45.0,37.9,57.3,48.1,19.1
122,15.5,9.2,14.4,36.9,25.8,43.7,29.7,52.8,38.3,18.3
123,13.7,9.0,13.7,42.5,41.9,48.4,32.8,50.4,43.6,18.8
124,11.5,15.6,13.1,42.8,63.4,42.7,38.0,59.2,37.2,21.5
125,27.6,22.0,13.2,54.7,64.5,44.4,33.8,61.9,33.8,25.0
126,43.2,21.2,13.8,54.3,57.4,33.9,43.4,60.4,27.0,32.4
127,48.6,27.8,13.8,46.9,45.7,36.8,45.4,68.4,19.1,21.0
128,42.6,30.8,14.1,39.2,37.2,46.0,36.6,69.3,24.9,19.4
129,30.2,22.5,13.0,31.5,41.3,42.4,35.9,78.3,27.5,19.3
130,33.4,24.7,13.4,34.5,55.5,45.5,33.6,103.8,28.9,23.9
131,38.5,21.9,13.9,34.2,49.3,53.6,51.3,146.3,24.4,24.4
132,26.8,27.1,14.3,33.2,51.5,52.5,43.6,130.6,24.5,29.9
133,23.1,21.0,13.7,54.3,50.3,48.1,39.2,117.0,34.0,25.6
134,32.6,27.2,14.1,35.2,49.0,56.3,39.1,139.7,25.7,20.1
135,41.4,18.6,13.5,54.9,65.1,44.4,16.5,165.3,19.5,20.8
