Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-134.14,-129.51400000000004,-129.67,-120.82000000000002,-140.40999999999994,-135.256,-125.16400000000002,-125.48500000000004,-130.92999999999998,-121.52800000000005,-129.70000000000005,-131.35,-138.36600000000016,-109.19499999999998,-137.97999999999996
1,-131.8,-136.18,-142.8999999999999,-121.399,-149.9919999999998,-127.39900000000004,-128.68300000000002,-146.53299999999987,-127.21000000000004,-125.06200000000005,-141.81999999999994,-134.85999999999999,-115.93599999999999,-101.905,-134.83299999999997
2,-135.28,-132.37,-137.16999999999993,-122.77000000000001,-152.24199999999988,-146.42199999999988,-133.30299999999997,-140.89599999999993,-132.262,-127.40200000000007,-129.12100000000004,-134.07999999999998,-127.97800000000004,-101.92900000000002,-148.21299999999988
3,-136.74999999999997,-135.33999999999997,-143.91999999999993,-121.14100000000003,-133.78599999999997,-130.75300000000001,-125.59900000000002,-136.13500000000002,-129.97000000000006,-132.295,-136.291,-137.37099999999998,-132.21099999999998,-101.998,-139.96599999999998
4,-132.85,-140.70999999999995,-141.21699999999993,-129.53800000000007,-141.54999999999995,-141.81999999999994,-142.99299999999994,-156.99699999999987,-138.94,-154.78899999999985,-131.75799999999998,-118.897,-146.33199999999985,-123.44800000000002,-134.26
5,-138.84999999999997,-129.27400000000003,-133.18,-131.22400000000005,-134.893,-131.2,-136.525,-156.97899999999984,-150.58899999999986,-146.75499999999994,-146.79399999999993,-109.79800000000003,-131.794,-139.7829999999999,-128.35000000000005
6,-140.98599999999993,-149.76999999999987,-134.99499999999998,-144.406,-135.99999999999997,-143.29899999999992,-144.17499999999993,-133.855,-134.55399999999997,-139.16499999999994,-145.56699999999992,-126.85600000000004,-139.43199999999996,-122.89899999999997,-130.33
7,-143.04999999999993,-143.4789999999999,-135.71499999999997,-189.15099999999975,-143.0499999999999,-141.49599999999992,-140.92899999999997,-127.30600000000007,-141.83499999999995,-134.107,-142.94199999999995,-159.23400000000004,-136.06,-143.56299999999987,-145.36899999999991
8,-141.99999999999991,-154.80999999999983,-136.12299999999996,-174.55400000000074,-140.61999999999992,-132.72400000000002,-146.26599999999993,-153.14199999999985,-133.429,-135.76,-149.34999999999988,-151.4739999999999,-143.4789999999999,-145.5789999999999,-152.62299999999985
9,-144.8499999999999,-145.89399999999992,-140.4099999999999,-171.5169999999998,-132.51399999999998,-141.37599999999995,-145.92099999999994,-161.4459999999998,-131.374,-139.86999999999998,-134.839,-148.6719999999999,-141.82599999999994,-142.66599999999994,-145.3509999999999
10,-133.77999999999997,-135.09400000000002,-135.48999999999998,-161.90199999999982,-132.811,-142.84299999999993,-145.47099999999995,-167.23599999999973,-134.70099999999996,-135.16000000000003,-136.42,-144.05799999999994,-144.5589999999999,-136.81900000000002,-161.85399999999993
11,-136.25499999999994,-138.73899999999998,-139.27299999999997,-155.47899999999987,-130.978,-144.06999999999996,-141.244,-148.4619999999999,-144.7059999999999,-138.03999999999996,-137.93499999999997,-152.23299999999986,-133.77100000000002,-134.28400000000002,-146.79699999999994
12,-140.58099999999996,-132.87999999999997,-138.21099999999993,-181.38399999999967,-137.57199999999997,-135.112,-137.644,-167.20299999999978,-129.55,-130.69000000000003,-138.76,-154.9119999999998,-136.56699999999995,-137.98299999999998,-144.95799999999994
