Episode Number,Ideal Algorithm ID,Ideal Reward
0,7,-118.46199999999999
1,11,-132.985
2,6,-104.422
3,11,-84.81800000000001
4,1,-86.588
5,10,-112.915
6,0,-112.71400000000001
7,12,-115.723
8,2,-130.97200000000004
9,3,-128.04700000000005
10,5,-137.72199999999992
11,13,-132.589
12,10,-131.08600000000004
13,14,-112.97900000000004
14,14,-127.35700000000001
15,11,-130.867
16,11,-151.6419999999999
17,13,-157.17699999999982
18,4,-156.04299999999984
19,11,-152.03799999999987
20,1,-188.42199999999957
21,1,-200.71999999999974
22,7,-197.3109999999995
23,7,-188.2179999999996
24,7,-181.8219999999996
25,8,-185.3739999999996
26,9,-200.78199999999947
27,7,-156.52000000000032
28,2,-212.28500000000108
29,11,-191.6109999999996
30,1,-187.1049999999996
31,1,-198.3399999999995
32,8,-195.4389999999998
33,7,-163.5529999999998
34,2,-177.1069999999997
35,5,-171.92900000000003
36,3,-168.44700000000006
37,4,-148.36099999999996
38,13,-119.62499999999991
39,6,-151.8599999999999
40,4,-176.92000000000044
41,9,-184.64299999999963
42,14,-187.48299999999992
43,5,-149.17300000000006
44,7,-152.8420000000008
45,2,-154.26400000000072
46,5,-154.234
47,12,-169.17099999999985
48,12,-156.73999999999984
49,12,-137.0009999999999
50,7,-153.5689999999999
51,14,-142.88600000000065
52,3,-144.29300000000052
53,4,-117.89200000000069
54,14,-156.4460000000003
55,3,-108.8880000000003
56,14,-102.70500000000024
57,0,-121.34900000000077
58,4,-133.125000000001
59,12,-127.76500000000053
60,14,-79.09500000000021
61,14,-89.15400000000076
62,2,-66.39100000000039
63,4,-105.04600000000039
64,1,-103.79000000000028
65,2,-126.6250000000003
66,9,-119.194
67,8,-116.40900000000013
68,1,-65.2720000000003
69,11,-72.70400000000014
70,8,-91.70199999999997
71,2,-107.77199999999998
72,11,-71.92400000000006
73,5,-90.47800000000007
74,7,-83.68000000000002
75,1,-65.021
76,4,-84.81199999999993
77,7,-85.35199999999989
78,9,-104.42499999999991
79,0,-89.76799999999992
80,12,-110.35699999999997
81,3,-95.44899999999997
82,8,-71.54599999999998
83,3,-91.89599999999994
84,2,-80.12599999999993
85,5,-68.38799999999988
86,2,-33.528999999999975
87,11,-88.53499999999987
88,8,-79.484
89,1,-91.53699999999999
90,6,-103.46799999999993
91,9,-45.31299999999989
92,1,-98.13699999999994
93,4,-107.15700000000001
94,12,-65.8769999999999
95,14,-72.57000000000042
96,13,-86.22200000000039
97,1,-33.32599999999987
98,0,-85.09400000000022
99,2,-109.1790000000005
100,3,-115.70200000000105
101,8,-108.5570000000009
102,9,-70.18000000000023
103,4,-102.35600000000088
104,5,-134.96900000000113
105,14,-123.2730000000009
106,3,-121.07900000000083
107,9,-121.53900000000056
108,8,-51.11500000000041
109,2,-116.15200000000036
110,12,-93.16500000000023
111,10,-75.7139999999998
112,9,-63.65699999999987
113,12,-79.25599999999991
114,6,-107.03999999999996
115,14,-114.40100000000011
116,9,-115.70100000000002
117,11,-128.01400000000018
118,5,-107.60799999999995
119,8,-111.32000000000023
120,4,-148.25500000000062
121,3,-137.5630000000007
122,3,-126.2000000000003
123,1,-152.87500000000057
124,6,-150.48500000000044
125,7,-114.98600000000074
126,8,-82.36000000000013
127,13,-113.7020000000003
128,9,-120.09400000000032
129,10,-105.41700000000006
130,2,-90.96000000000014
131,8,-80.05099999999993
132,0,-87.97699999999995
133,8,-101.90799999999989
134,8,-109.53399999999988
135,7,-75.41200000000012
136,9,-75.62299999999995
137,2,-84.34699999999992
138,3,-91.15299999999995
139,0,-98.76099999999992
140,10,-71.32499999999982
141,7,-122.1329999999999
142,2,-114.9270000000001
143,10,-103.61199999999988
144,12,-97.24000000000004
145,4,-86.8350000000003
146,14,-118.28900000000014
147,14,-121.92800000000011
148,9,-122.76799999999987
149,2,-99.51600000000015
150,5,-116.27400000000004
151,10,-98.40699999999993
152,5,-105.63099999999986
153,2,-70.47799999999997
154,12,-96.99699999999993
155,13,-51.46499999999999
156,5,-72.73099999999997
157,1,-86.32399999999991
158,10,-32.48899999999983
159,9,-65.78099999999988
