Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,8,64,66.1,27.883507670305757
1,5,128,54.8,15.954936540143304
2,8,192,59.8,22.139557357815445
3,6,256,58.6,25.81937257177254
4,8,320,65.4,31.607594024221452
5,1,384,63.0,28.474550040343043
6,8,448,73.0,40.53887023586129
7,0,512,51.5,20.77137453323684
8,9,576,50.1,16.501212076693033
9,8,640,63.8,21.82567295640618
10,2,704,63.2,23.365786954434043
11,2,768,51.4,7.445804187594514
12,4,832,65.4,36.257964642268604
13,5,896,76.1,27.93367143789015
14,0,960,84.1,38.985766633477915
15,6,1024,87.6,26.691571703442268
16,1,1088,69.2,25.4668411861385
17,2,1152,57.4,15.71114254279427
18,2,1216,59.4,12.499599993599796
19,9,1280,49.2,12.710625476348518
20,3,1344,48.9,14.679577650600168
21,8,1408,47.1,20.69033590834136
22,5,1472,53.3,13.34953182699678
23,0,1536,44.8,16.4730082255792
24,9,1600,46.1,16.306133815224257
25,8,1664,44.9,14.32096365472659
26,2,1728,40.2,6.939740629158989
27,2,1792,49.6,15.761979571107178
28,0,1856,45.3,19.370338148829514
29,2,1920,43.8,9.83666610188635
30,5,1984,47.0,14.953260514014994
31,6,2048,52.2,21.14142852316276
32,6,2112,80.0,36.736902427940215
33,4,2176,59.2,29.35234232561347
34,7,2240,39.5,20.824264692900922
35,6,2304,57.0,33.48432469081615
36,2,2368,49.5,30.79042058822841
37,1,2432,49.5,38.21060062338722
38,8,2496,58.4,32.009998437988095
39,4,2560,36.2,13.833293172632466
40,8,2624,40.8,12.796874618437114
41,2,2688,36.7,10.080178569846867
42,0,2752,35.4,11.689311356961968
43,0,2816,28.9,4.867237409455183
44,5,2880,26.8,6.4
45,8,2944,24.4,3.7202150475476548
46,9,3008,24.6,2.870540018881465
47,0,3072,24.8,3.8418745424597094
48,3,3136,26.3,3.8742741255621036
49,4,3200,27.2,4.237924020083419
50,8,3264,32.4,7.8383671769061705
51,8,3328,36.6,9.604165762834375
52,0,3392,42.4,10.772186407596186
53,0,3456,42.5,14.389232085139222
54,0,3520,35.4,10.307278981380101
55,5,3584,46.6,19.095549219648017
56,0,3648,41.8,7.318469785412795
57,2,3712,57.7,33.56203211964377
58,2,3776,45.4,7.989993742175272
59,8,3840,65.7,43.744828265750456
60,3,3904,48.7,17.70903724091177
61,0,3968,48.7,7.014983962918233
62,7,4032,59.8,15.295751043999115
63,1,4096,62.8,18.329211657897346
64,7,4160,50.2,9.042123644365853
65,4,4224,59.9,22.598451274368337
66,5,4288,56.6,13.965672200076874
67,2,4352,56.6,17.135927170713583
68,8,4416,56.6,17.2
69,3,4480,62.3,20.159613091525344
70,4,4544,54.9,10.587256490706174
71,5,4608,52.9,12.078493283518437
72,8,4672,70.5,24.49183537426299
73,3,4736,58.6,17.030560765870277
74,1,4800,60.5,23.597669376444784
75,5,4864,66.2,32.32584105634376
76,9,4928,58.7,16.474525789836864
77,6,4992,55.0,19.88969582472291
78,8,5056,56.5,12.10991329448729
79,1,5120,54.1,17.57526671205874
80,8,5184,58.5,26.919323914244206
81,1,5248,51.4,13.58086889709197
82,6,5312,53.3,11.857908753233009
83,2,5376,54.4,12.978443666326097
84,4,5440,56.0,17.029386365926403
85,8,5504,47.9,10.830050784737807
86,2,5568,57.5,17.861970775925034
87,3,5632,47.9,19.725364381932213
88,0,5696,58.7,15.627219842313604
89,9,5760,53.2,11.84736257569591
90,1,5824,54.8,13.280060240827224
91,8,5888,61.8,15.341447128612087
92,2,5952,69.5,23.350588857671234
93,4,6016,58.6,16.511813952440235
94,2,6080,72.3,30.698697040754027
95,2,6144,58.2,14.427751037497147
96,6,6208,51.1,10.094057657849989
97,4,6272,55.7,11.662332528272378
98,5,6336,54.2,14.79729705047513
99,5,6400,75.5,31.528558482747034
100,5,6464,49.5,14.17215579931296
101,5,6528,59.8,14.358272876638054
102,9,6592,77.6,33.505820389896435
103,8,6656,53.8,11.565465835840769
104,7,6720,77.5,41.28498516410052
105,0,6784,66.7,30.109965127844305
106,8,6848,69.3,23.32402195162747
107,9,6912,112.1,53.71489551325591
108,8,6976,112.1,26.53846265328872
109,2,7040,120.3,58.72146115348289
110,2,7104,107.3,43.60286687822258
111,3,7168,106.5,53.61203223158025
112,2,7232,89.3,43.44893554507406
113,9,7296,96.3,47.58581721479626
114,2,7360,81.9,43.50735569992734
115,4,7424,65.0,18.16039647144302
116,8,7488,100.1,51.05967097426304
117,0,7552,73.9,20.1367822652975
118,5,7616,101.9,51.32143801570646
119,3,7680,78.7,28.010890739139302
120,3,7744,86.5,37.39585538532312
121,2,7808,83.1,33.79482208859813
122,9,7872,102.1,47.90083506578983
123,1,7936,109.4,59.26246704280881
124,1,8000,97.2,57.10656704793241
125,3,8064,96.3,40.538993574088636
