Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,9,256,302.642127850984,6.176786124731722
1,19,512,116.00282015892233,3.6402955149222738
2,5,768,230.09370238988794,1.6079903221716887
3,7,1024,74.31799713831728,1.5179106391658885
4,9,1280,58.275133548980385,0.8553587266717344
5,17,1536,49.93780291931258,1.1206822296536554
6,7,1792,43.003135127281,0.8325156818187422
7,6,2048,42.67563087597319,0.8549618228975714
8,19,2304,42.50345107714078,0.9775837176931456
9,5,2560,41.58664501662847,0.8774326347163307
10,7,2816,40.58607378876748,1.1249669377457467
11,11,3072,39.964120585952294,0.7713548937298955
12,9,3328,39.31763353102518,0.8223020605251904
13,19,3584,38.959792211171106,1.1268683604939742
14,5,3840,38.985160284581156,0.6219840919744561
15,9,4096,38.648981899313775,0.7057720903922421
16,9,4352,38.91455580096713,0.9060297935626019
17,17,4608,38.90477715783922,0.8663521698692961
18,6,4864,38.639578243986456,1.011736050011967
19,6,5120,39.09415148249946,0.624717227522701
20,19,5376,38.953438637011025,1.2784921949298038
21,6,5632,38.91480339010873,1.0640576569069793
22,17,5888,38.45411416491638,0.71033249717695
23,17,6144,38.991058792231186,0.6062014239214126
24,9,6400,38.927251789923446,0.9449078289615338
25,19,6656,39.090190759656515,0.8887358119017468
26,13,6912,38.4434527483276,1.1629563176466429
27,6,7168,38.3977852777366,0.6164298799458283
28,6,7424,38.849787907920685,1.1726733364033615
29,9,7680,39.09781705647979,0.6690846481059606
30,6,7936,38.31444590317761,0.980936422848125
31,6,8192,38.32225589434703,0.990060109300178
32,13,8448,38.427236498635516,1.012986199744727
33,5,8704,38.77247845285895,0.8580982388595471
34,7,8960,38.87981579376985,1.0748591767116535
35,6,9216,39.07230722668147,0.6428107591754756
36,11,9472,38.6743768689571,0.810321449108392
37,14,9728,39.03429473659788,0.6997983467015325
38,14,9984,39.37456607431655,0.8096257066681694
39,4,10240,38.97989896051818,0.6126224887281537
40,12,10496,39.37394475540197,0.760176451456362
41,9,10752,38.52860417199556,1.3246106558005604
42,2,11008,38.52900135233661,0.9300895348469881
43,0,11264,39.177365433459435,0.9648451745401975
44,15,11520,38.70530639773891,1.2474366293625743
45,5,11776,38.69688668584252,1.227321275336304
46,9,12032,38.44427566711436,1.0942656147191991
47,7,12288,39.097867568457175,1.0530519351696743
48,6,12544,38.42148154027619,0.6614230133249538
49,3,12800,39.001138532990424,0.6808078064545002
50,9,13056,38.89709847078275,1.0976036332158305
51,4,13312,38.81691407363534,1.1017718459433212
52,19,13568,38.86372141335427,0.512563662863001
53,14,13824,38.73096130926035,0.7618688201153324
54,3,14080,38.975034023196244,1.184482798526594
55,14,14336,38.961701560861975,0.6790750626682763
56,18,14592,38.64454325139239,0.8122088513191605
57,9,14848,38.9953054827992,0.9083709208879627
58,17,15104,39.39903845697753,1.1129540078003417
59,7,15360,38.90111105195063,0.7737550684096438
60,9,15616,39.09200323581265,0.7318151087635933
61,13,15872,38.80604172135555,0.8037000362276652
62,7,16128,39.23712484439055,0.9840318902107138
63,7,16384,38.98739848807519,0.9193621286681609
64,9,16640,39.08448775621581,0.8869292122628007
65,19,16896,39.49072034786718,1.0994610595039604
66,18,17152,39.91078765276252,1.1173170003955006
67,17,17408,40.15777302231416,0.3949781671390378
68,6,17664,39.19274613265443,0.9475618711432081
69,17,17920,40.650466567014135,0.8507584527709114
70,6,18176,41.18673169055294,1.1429017476818937
71,12,18432,42.568224030037904,0.27593071266517805
72,7,18688,46.16940307796551,1.0573741525985643
73,6,18944,46.27257418829097,0.8190593553846087
74,12,19200,50.13483389247553,0.2517217461366241
75,17,19456,54.28292091732957,0.7928774564304971
76,6,19712,54.417319827811255,1.110228919987567
77,7,19968,53.16164194147107,0.7958212690874619
78,11,20224,49.02301906484896,0.6853772088080371
79,5,20480,43.282239389596825,0.8365287015853438
80,4,20736,45.13900180533939,1.0965023087166499
81,9,20992,44.14363699910284,1.4657555991563231
82,19,21248,50.9545364909507,0.9437856044085403
83,6,21504,50.997287000845226,1.0118484428203558
84,13,21760,159.56109814475636,30.501483943122615
85,7,22016,165.99550487143026,2.154745673210355
86,9,22272,168.54498020883378,2.1226559705668637
87,8,22528,169.54480579465195,1.186501335349398
88,5,22784,116.51341901299818,4.151336924370383
89,17,23040,62.6960329730358,5.410503319253282
90,7,23296,168.8377627141822,2.6090572170561095
91,1,23552,170.86003956259967,1.2276332095951645
92,5,23808,164.625482229287,4.614085354568229
93,7,24064,70.63201212811913,7.723548975978345
94,14,24320,92.01183067577325,51.23666367753218
95,0,24576,123.44453602863754,36.597102275782106
96,19,24832,90.49714462442964,29.832561448272077
97,2,25088,128.8263021814588,18.353992555006435
98,3,25344,97.10723321560776,7.086541179564189
99,13,25600,116.29181623969203,5.144891960432032
100,17,25856,93.93106372213646,10.939630594321693
101,19,26112,86.32142908527375,14.891729136500729
102,2,26368,74.42628395481582,18.089678816402373
103,3,26624,54.63064062486227,4.267051075482669
104,11,26880,58.42551666915483,4.170753825291046
105,4,27136,61.83099642757262,3.836012469931367
106,4,27392,72.05757308138483,4.6496812158009
107,14,27648,54.77537219232909,4.025034016760192
108,17,27904,53.26521551444158,5.507965196513467
109,17,28160,81.6654732412039,10.57078279216154
110,3,28416,87.14696626813631,4.152361920227405
111,9,28672,48.47489159706286,2.6454553985675653
112,14,28928,51.65645938410414,3.574506738230252
113,16,29184,54.23027914798165,2.2885123213752814
114,19,29440,102.74618649706971,7.671615159580072
115,14,29696,111.88010236990397,9.270087703712058
116,6,29952,109.16084327650113,5.204864646708203
117,6,30208,112.45590837276897,7.29499067788357
118,14,30464,115.37131026954043,25.14537667247662
119,8,30720,87.01864705176523,7.868048157345833
120,9,30976,67.35365317970567,7.7284009456218135
121,19,31232,73.50750789336988,39.00680235226719
122,5,31488,47.07388531065559,6.648451318806518
123,19,31744,72.73422642840069,15.397524249992633
124,3,32000,46.84278301913325,4.897444742028251
125,16,32256,45.6646967529386,2.290444833943442
126,14,32512,47.05516139908603,3.0823266998138927
127,5,32768,63.96997128578126,12.348342112869231
128,11,33024,86.51154169395546,5.688431618693122
129,3,33280,70.59286235450448,34.794428043220954
130,17,33536,134.33368098558154,98.1315194152546
131,0,33792,165.7097118177767,62.38572858195595
132,9,34048,65.5728092966826,28.829600469980356
133,19,34304,53.25660917148336,19.922942367863264
134,5,34560,100.17014045049336,15.09970384655012
135,14,34816,83.17040557268197,15.324912764109698
136,9,35072,68.8953788895561,9.839862441417052
137,3,35328,78.59000852593545,16.821562265100198
138,5,35584,87.86129040698982,18.546572031604118
139,16,35840,95.46708280587706,19.769798312900413
140,4,36096,116.54067970338424,41.67979290665627
141,17,36352,263.5794040947636,57.151381783871194
142,19,36608,74.93536895169609,51.28461846642532
143,5,36864,71.60269289499077,15.24205421569468
144,14,37120,52.26111981460299,18.08990880855906
145,2,37376,84.70419927717276,49.90666376032097
146,3,37632,39.361801648422215,0.7749623550006381
147,7,37888,38.88187042842553,0.9085826835569255
148,5,38144,65.62876518858437,32.82229912031445
149,19,38400,46.060731301194224,21.27944293155083
150,9,38656,105.46141773358177,23.033935494410166
151,19,38912,119.70362354240645,9.704652066247283
152,19,39168,95.32412140423534,37.594367247872064
153,5,39424,67.28364935397896,33.90287232862478
154,4,39680,69.97800421820229,37.78413324102563
155,9,39936,96.7679873710208,10.321839107786523
156,0,40192,106.15648975085878,4.669504325877819
157,5,40448,101.11138493565363,21.68117461458991
158,4,40704,99.2841111904997,14.735766657424387
159,17,40960,102.36549823765148,11.148266187781529
160,7,41216,88.91456229353562,7.940958220785669
