Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-146.7999999999999,-131.2899999999999,-100.051,-137.53,-100.63300000000001,-135.28,-115.38400000000001,-100.47099999999999,-140.70999999999995,-125.14000000000003,-123.41800000000009,-111.67000000000003,-133.73199999999997,-101.93499999999999,-126.88900000000001
1,-139.26999999999992,-132.92199999999997,-105.96399999999998,-132.36700000000002,-110.023,-132.72999999999996,-148.4349999999999,-132.94,-132.40600000000003,-128.09200000000004,-111.16899999999998,-116.38300000000001,-142.02999999999992,-105.11500000000001,-126.97300000000003
2,-129.94,-132.78699999999998,-113.70999999999995,-140.30799999999994,-136.726,-136.98999999999995,-149.46399999999988,-135.388,-134.34999999999997,-145.4379999999999,-115.045,-124.19200000000004,-139.83999999999995,-107.95599999999999,-119.97100000000003
3,-132.049,-134.092,-132.82600000000002,-147.5889999999999,-132.13299999999998,-142.77999999999992,-135.715,-125.89000000000006,-129.46,-136.74399999999997,-149.5659999999999,-131.371,-132.28,-108.646,-123.95500000000004
4,-145.3059999999999,-139.44999999999993,-127.04800000000004,-133.69,-134.22100000000006,-132.76000000000002,-140.76399999999998,-137.404,-137.16999999999996,-143.71299999999994,-155.1219999999999,-146.1159999999999,-131.95000000000002,-123.77200000000005,-124.79500000000004
5,-150.91599999999985,-143.3049999999999,-140.69199999999995,-126.36400000000003,-129.72100000000003,-130.594,-155.97099999999983,-154.56999999999985,-133.57,-133.98999999999998,-150.47199999999992,-151.15299999999985,-143.46999999999994,-179.97699999999966,-133.92399999999995
6,-137.404,-135.45999999999998,-133.93,-141.30399999999997,-153.78699999999984,-129.45700000000002,-148.13799999999992,-133.141,-137.23899999999998,-142.32699999999994,-161.88099999999983,-136.16799999999998,-133.402,-152.51199999999992,-128.44
7,-130.63000000000002,-138.53199999999995,-127.12600000000002,-141.5229999999999,-149.69799999999992,-120.66400000000002,-167.2689999999998,-133.276,-133.747,-124.02700000000004,-150.9999999999999,-141.25899999999996,-140.36799999999997,-165.98199999999974,-134.35299999999992
8,-133.23999999999998,-135.16299999999998,-124.65700000000004,-139.96599999999998,-146.65599999999992,-117.38500000000002,-159.22899999999987,-139.17399999999992,-141.22299999999993,-121.606,-175.38999999999967,-135.36999999999995,-144.39999999999992,-161.1759999999998,-128.353
9,-132.103,-145.98999999999987,-129.778,-128.017,-149.59599999999995,-137.566,-197.00199999999973,-131.35299999999998,-135.49,-129.58300000000003,-177.39699999999974,-140.4099999999999,-146.42499999999993,-155.00799999999987,-110.458
10,-129.526,-136.11999999999998,-141.00699999999992,-130.105,-148.86399999999995,-230.57500000000041,-164.55300000000116,-119.08300000000001,-147.53799999999993,-138.283,-174.23499999999973,-140.57499999999993,-162.71199999999976,-173.14299999999966,-105.16299999999998
11,-133.798,-141.08499999999995,-150.92199999999985,-129.664,-147.39099999999993,-154.40600000000086,-196.9809999999998,-124.71999999999996,-134.38,-139.48600000000002,-166.03599999999977,-134.365,-160.72599999999983,-161.4099999999998,-110.45800000000001
12,-156.0249999999998,-143.0469999999999,-141.42399999999995,-127.53700000000006,-147.29799999999994,-129.80499999999998,-197.68899999999968,-134.78499999999994,-132.91,-138.28300000000004,-189.1989999999996,-133.456,-143.61399999999995,-159.8409999999998,-116.05300000000003
13,-146.3109999999999,-138.382,-143.09499999999994,-162.94299999999976,-158.97999999999988,-139.642,-172.38800000000137,-117.77800000000002,-136.29099999999997,-143.248,-180.0129999999997,-145.50999999999988,-138.33699999999996,-166.46799999999976,-119.60500000000002
14,-138.60999999999996,-140.41299999999995,-218.56000000000046,-140.51499999999996,-159.6759999999999,-164.33499999999987,-210.17799999999957,-127.69299999999998,-136.468,-143.95599999999996,-179.81199999999967,-127.29700000000003,-135.16600000000003,-170.65299999999974,-129.232
15,-136.95399999999995,-140.80899999999994,-193.26399999999958,-139.16199999999995,-164.29599999999982,-248.4550000000002,-140.87200000000138,-129.94,-144.93699999999993,-136.61200000000002,-181.40799999999962,-130.55200000000002,-138.127,-170.25399999999973,-124.48900000000003
16,-134.83599999999996,-144.44199999999992,-185.03499999999963,-146.57199999999992,-187.48899999999972,-251.88400000000087,-176.58200000000141,-179.06099999999986,-138.154,-141.62199999999993,-155.87499999999991,-141.44499999999994,-142.00299999999993,-178.58799999999968,-132.064
17,-138.89799999999997,-131.977,-155.70099999999988,-158.22999999999985,-172.79899999999992,-205.93299999999962,-182.6920000000015,-216.85299999999947,-145.10199999999992,-147.09999999999988,-177.41799999999972,-142.10199999999995,-150.6879999999999,-169.67799999999974,-129.847
18,-134.929,-134.61399999999998,-164.15199999999982,-145.68999999999994,-187.71200000000016,-146.37000000000063,-161.53800000000126,-208.8099999999995,-144.18699999999995,-137.494,-176.47599999999971,-137.45199999999994,-151.77999999999992,-177.59499999999971,-133.417
19,-137.07099999999997,-131.167,-177.68199999999973,-153.21999999999986,-196.61099999999985,-153.9490000000003,-164.83400000000066,-214.2819999999994,-152.59299999999985,-143.10099999999997,-206.1189999999996,-133.24600000000004,-145.498,-189.33699999999968,-136.666
20,-144.50799999999987,-145.0569999999999,-159.53499999999988,-159.11799999999985,-200.07999999999984,-119.941,-143.49000000000075,-206.95300000000088,-144.72099999999992,-158.42199999999985,-231.87699999999964,-127.45900000000006,-155.8479999999999,-183.21399999999974,-141.45699999999994
21,-144.56499999999988,-147.57099999999986,-188.7999999999997,-160.85799999999983,-163.48899999999986,-128.88000000000017,-160.43900000000122,-169.46500000000114,-153.44199999999984,-155.39199999999988,-232.81899999999973,-136.57899999999998,-148.97199999999992,-171.1629999999998,-133.756
22,-131.97400000000002,-139.11399999999998,-180.19899999999976,-168.86199999999974,-186.25899999999976,-129.25200000000015,-172.090000000001,-200.86600000000027,-173.28399999999968,-143.20299999999992,-233.2599999999997,-149.16999999999987,-155.7639999999999,-163.31499999999986,-137.52999999999997
23,-153.69399999999982,-143.7549999999999,-176.26299999999978,-155.85099999999989,-144.30199999999988,-195.26499999999993,-163.38800000000154,-137.05400000000049,-170.45799999999969,-152.73099999999988,-264.5560000000007,-149.2359999999999,-152.48499999999996,-173.8179999999998,-121.65700000000001
