Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,14,64,0.015333317504455301,15.650228340531024
1,18,277,-5.7000288310172165,19.97495672729599
2,13,490,-19.733548701876582,18.539346423349972
3,15,703,-56.894338337385435,16.633059591624562
4,0,916,-9.859826186013768,9.092822319589114
5,17,1129,-6.572720338012422,11.314284826945658
6,5,1342,-11.24636870255311,8.315984372717
7,11,1555,-65.62864082295557,19.286193574330486
8,16,1768,-26.40736105587369,6.892516981384339
9,3,1981,-87.59191595274604,28.75262453981391
10,11,2194,-6.854725419320808,11.754908593463178
11,12,2407,-3.021873447079491,8.025345273282596
12,4,2620,-8.267359131391823,12.10152274281642
13,9,2833,-4.037313846461865,10.446501684128416
14,6,3046,-68.07534592580573,27.86580718175926
15,8,3259,-15.355537132454097,12.140532014888908
16,2,3472,-2.7575059807714526,10.514850335571666
17,1,3685,-3.208821685388974,7.943461272841713
18,10,3898,-6.18533613091542,9.061745913232265
19,7,4111,-7.30692356180987,10.095836787133036
20,19,4324,-13.884108534570325,10.466220561485423
21,18,4537,-8.72329046891266,8.785563736113078
22,16,4750,-49.2483902212049,16.82373039630606
23,0,4963,-7.358265977584357,10.29592809619102
24,16,5176,-90.19116272923284,27.05872945396645
25,19,5389,-11.492521449422942,13.838387804251617
26,3,5602,-71.4668866958202,27.36453363581271
27,2,5815,-2.672593148103055,10.859196922574208
28,9,6028,-4.782230198082091,14.614296599350759
29,6,6241,-73.44780810713326,19.419139129472963
30,7,6454,-22.853774895918697,14.314990426255962
31,13,6667,-15.487490002040866,18.19712710131718
32,0,6880,-14.681036305505168,13.35998638408513
33,11,7093,-13.043435454046271,11.363238026858285
34,0,7306,-16.641951383989955,13.880263407331366
35,0,7519,-2.0207692931546095,19.080217421271826
36,0,7732,-48.95466131698727,12.99185348110769
37,0,7945,-75.93620910165296,48.48676225464221
38,10,8158,-15.861962387169688,15.967529074438213
39,1,8371,-1.414705806602194,13.48488912289837
40,4,8584,-20.255180012674078,11.174495944908285
41,14,8797,-86.80277929921876,30.30146323550882
42,17,9010,-24.397241505057885,15.942440441741297
43,5,9223,-4.447373466524271,7.775442294905918
44,12,9436,-76.59107018494653,21.95825689368302
45,8,9649,-16.244386594927132,14.802323361731732
46,15,9862,-1.9651939511611722,12.772607352410253
