Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,10,256,-111.96099999999998,15.89056163261699
1,12,512,-127.63,31.37120526852609
2,9,768,-184.093,58.836959481264905
3,10,1024,-159.14199999999988,16.013747094293613
4,9,1280,-181.34199999999964,15.013477145551475
5,10,1536,-196.8369999999997,29.890875882114873
6,5,1792,-160.47999999999985,15.182353572486598
7,9,2048,-173.30499999999975,26.147991223036396
8,9,2304,-174.7119999999997,19.28221709244023
9,12,2560,-191.17599999999965,20.509259469810086
10,0,2816,-180.77799999999968,18.728888274534466
11,10,3072,-184.96299999999965,13.398776847160194
12,2,3328,-205.54299999999967,22.640157265355185
13,7,3584,-224.50599999999991,32.165173464479416
14,6,3840,-219.12800000000038,93.61056722400562
15,5,4096,-210.17200000000093,51.369847537247274
16,10,4352,-228.22599999999989,31.17635103728491
17,0,4608,-194.02200000000047,85.65867064109773
18,9,4864,-212.93000000000097,82.15540359586855
19,10,5120,-207.9469999999999,38.66831960403777
20,12,5376,-208.49099999999981,14.736062194493837
21,9,5632,-229.06800000000004,19.20383336732537
22,10,5888,-213.71900000000014,19.482667399511467
23,6,6144,-128.2850000000002,87.1320940010054
24,9,6400,-144.3490000000001,60.66269800297377
25,12,6656,-110.39400000000008,79.1891735276987
26,9,6912,-135.43599999999995,63.76887378651117
27,2,7168,-161.46999999999989,14.815663333107862
28,8,7424,-132.51500000000001,42.211887484451594
29,9,7680,-95.43100000000001,90.14330562498796
30,6,7936,-89.02099999999994,94.83683561254026
31,10,8192,-116.23499999999999,77.12541076065646
32,12,8448,-135.53599999999997,59.32737600804532
33,7,8704,-125.56400000000001,54.001047989830695
34,5,8960,-148.882,7.521750860005888
35,9,9216,-114.34499999999998,77.02192678062524
36,9,9472,-112.18899999999994,83.61311325982298
37,9,9728,-55.083999999999904,97.40686240712196
38,9,9984,-86.53199999999994,80.9321445162551
39,10,10240,-168.06099999999986,9.36560457204973
40,8,10496,-135.04199999999983,85.03109605314982
41,12,10752,-169.52799999999996,28.39112002017533
42,2,11008,-168.62799999999987,10.713286890585843
43,10,11264,-154.57099999999986,52.617279946800736
44,11,11520,-97.24000000000004,93.73415812818718
45,10,11776,-90.6129999999999,85.93251748319729
46,12,12032,-71.27699999999986,91.43589722313664
47,9,12288,-155.21799999999993,11.375153449514343
48,9,12544,-98.31999999999994,89.49905619614098
49,4,12800,-120.60399999999984,82.32953968048162
50,13,13056,-135.43999999999983,76.28793089342506
51,11,13312,-118.95399999999992,73.13830121078827
52,10,13568,-124.56599999999999,59.23022762070049
53,12,13824,-107.12000000000037,103.04762559127737
54,12,14080,-60.26600000000006,88.4452843514002
55,13,14336,-77.79800000000007,77.04763549908591
56,5,14592,-90.07499999999996,85.18322267324726
57,12,14848,-110.72699999999998,82.34898761369199
58,10,15104,-114.22199999999995,71.69795698623501
59,12,15360,-129.5,58.14099483153003
60,10,15616,-105.80300000000003,77.30292854090324
61,13,15872,-92.43199999999987,83.21542294550939
62,5,16128,-99.64899999999993,85.90600484832245
63,3,16384,-78.03199999999997,89.53687059530284
64,9,16640,-57.55199999999995,100.5758654747748
65,10,16896,-152.18800000000036,14.701235866416514
66,12,17152,-162.64400000000023,10.483604532793473
67,3,17408,-165.04500000000044,10.951497842761425
68,10,17664,-169.07600000000068,13.191597477182679
69,3,17920,-121.84300000000042,70.33482793751644
70,0,18176,-148.83000000000067,62.37190056427683
71,10,18432,-145.52000000000072,66.41387279778255
72,0,18688,-169.54100000000068,13.703604233923828
73,7,18944,-169.67200000000065,10.029278937192151
74,11,19200,-137.21400000000023,58.775184933779826
75,9,19456,-151.08900000000065,62.15711454853766
76,10,19712,-176.76000000000047,5.930856599177077
77,14,19968,-169.8500000000002,13.871985438285432
78,13,20224,-142.2080000000003,59.83354089471905
79,9,20480,-179.94100000000134,3.178670948683145
80,8,20736,-174.0790000000008,6.634754629977438
81,6,20992,-168.36800000000105,13.29621134007783
82,9,21248,-172.7180000000011,10.629685602124303
83,3,21504,-168.17200000000065,14.058043107061982
84,6,21760,-149.49800000000084,60.88126293039635
85,9,22016,-170.84600000000069,11.896400464006572
86,6,22272,-166.08400000000034,10.242735181581477
87,0,22528,-157.51599999999996,68.0223084289264
88,9,22784,-167.83100000000076,15.655290128260848
89,8,23040,-141.29000000000036,59.86305421543428
90,6,23296,-163.9480000000004,10.737587997311755
91,10,23552,-162.7780000000004,12.005205371005188
92,9,23808,-151.4920000000006,55.97508442155352
93,10,24064,-150.0390000000006,59.223972249419674
94,5,24320,-170.16400000000039,10.901680787842203
95,10,24576,-173.99000000000066,12.549010319543422
96,0,24832,-167.95400000000063,11.515158010206067
97,10,25088,-161.12900000000053,11.49601883262251
98,0,25344,-139.34500000000008,45.693082682174264
99,9,25600,-145.66300000000052,63.533764889230554
100,9,25856,-132.27900000000076,74.62188518792647
101,12,26112,-162.78200000000072,16.92641592304831
102,2,26368,-164.7470000000007,13.716517087074928
103,6,26624,-123.70400000000056,73.62179449049081
104,12,26880,-156.22400000000025,13.199522870165204
105,10,27136,-170.4810000000005,13.050724462650022
106,11,27392,-169.17000000000047,13.841177695557901
107,11,27648,-168.48200000000065,9.929514388932253
108,9,27904,-95.69200000000005,101.58474765436007
109,10,28160,-161.74800000000005,10.517002234477356
110,12,28416,-168.66500000000062,11.163471010398707
111,4,28672,-167.19300000000038,17.002863317688924
112,10,28928,-125.26600000000035,68.71989220014842
113,11,29184,-155.38200000000012,43.83257733695327
114,10,29440,-140.8840000000001,51.27081434890626
115,11,29696,-99.93400000000017,77.46838118871469
116,10,29952,-105.99600000000052,93.06636096893482
117,10,30208,-80.42400000000032,90.346960236635
118,11,30464,-111.89200000000044,92.79937864016152
119,10,30720,-154.49600000000032,56.71890235186173
120,11,30976,-83.07900000000038,90.45991249719461
121,8,31232,-154.6090000000005,64.93888564642926
122,6,31488,-141.82200000000026,60.80731860557589
123,7,31744,-177.79200000000094,14.83115693396838
124,9,32000,-160.45400000000024,14.064035125098666
125,11,32256,-141.62400000000017,36.7527735552028
126,9,32512,-158.82100000000042,13.43412181722404
127,10,32768,-125.88200000000009,61.04334505906457
128,9,33024,-141.80300000000045,62.12805808167541
129,11,33280,-139.72300000000024,29.5650056823941
130,0,33536,-123.367,61.19095064631695
131,10,33792,-111.84200000000028,80.68812772645082
132,12,34048,-113.57900000000014,75.87290523632277
133,9,34304,-69.52100000000002,92.1764315267195
134,9,34560,-102.98799999999991,79.42438653209736
135,0,34816,-153.09399999999997,16.91658369766179
136,6,35072,-118.36799999999994,79.34890255069692
137,7,35328,-116.97899999999996,82.50206136212594
138,0,35584,-95.54800000000029,89.70776909499003
139,10,35840,-154.40300000000028,19.954880631063915
140,9,36096,-150.92400000000035,70.67442496405636
141,6,36352,-133.35499999999996,59.638260915288264
142,13,36608,-118.76800000000026,81.43317884007742
