Algorithm ID,gamma,learning_rate,exploration_fraction,exploration_initial_eps,exploration_final_eps
0,0.2,0.00075,0.99,1.0,0.05
1,0.2,0.001,0.99,1.0,0.05
2,0.3,0.00025,0.95,1.0,0.05
3,0.4,0.00075,1.0,0.2,0.2
4,0.5,0.00025,0.95,1.0,0.05
5,0.6,0.0005,0.9,1.0,0.05
6,0.7,0.00025,0.9,1.0,0.05
7,0.7,0.00075,1.0,0.2,0.2
8,0.9,0.0005,1.0,0.15,0.15
9,0.95,2.5000000000000005e-05,1.0,0.15,0.15
