Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.00075,0.001,0.001
1,0.2,0.0001,0.005,0.0025
2,0.2,0.00025,0.005,0.075
3,0.3,0.0001,0.0005,0.005
4,0.3,0.0005,0.01,0.001
5,0.4,0.0005,0.001,0.005
6,0.4,0.0005,0.005,0.0075
7,0.4,0.0005,0.005,0.075
8,0.5,0.00075,0.005,0.049999999999999996
9,0.5,0.001,0.01,0.075
10,0.6,0.00075,0.005,0.001
11,0.6,0.001,0.005,0.075
12,0.7,5e-05,0.001,0.075
13,0.7,0.00025,0.01,0.025
14,0.7,0.00025,0.01,0.049999999999999996
15,0.8,0.0005,0.005,0.025
16,0.8,0.00075,0.001,0.001
17,0.9,5e-05,0.005,0.0025
18,0.9,0.0005,0.0005,0.005
19,0.99,0.001,0.01,0.075
