Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-139.2489999999999,-133.93,-136.6,-130.963,-122.14600000000003,-124.93600000000004,-141.7179999999999,-102.4,-137.56599999999997,-135.27999999999997,-115.828,-101.062,-129.99400000000003,-142.09599999999992,-130.447
1,-137.209,-150.45999999999987,-140.10999999999996,-131.44,-137.67699999999996,-126.97900000000001,-134.56,-106.6,-135.91899999999995,-108.07900000000002,-126.67599999999997,-100.642,-130.90900000000002,-139.02399999999997,-140.76699999999994
2,-145.04199999999992,-145.74999999999991,-136.53999999999996,-142.5129999999999,-143.4339999999999,-127.71100000000001,-134.06200000000004,-106.57000000000002,-158.0139999999998,-110.18200000000002,-123.48099999999997,-101.82999999999998,-124.79500000000004,-148.29399999999987,-145.98399999999987
3,-136.681,-127.10799999999999,-130.06,-130.243,-140.46099999999996,-135.07299999999998,-140.76399999999995,-114.13,-131.05,-136.525,-129.11200000000002,-102.40900000000002,-134.035,-134.128,-135.94899999999998
4,-133.05400000000003,-109.564,-126.32800000000002,-139.00899999999996,-127.98100000000004,-140.05899999999997,-142.24599999999992,-123.01000000000002,-127.21300000000001,-143.4099999999999,-123.23200000000001,-144.45099999999996,-144.0999999999999,-146.9589999999999,-138.93999999999997
5,-168.3849999999998,-103.53699999999999,-126.80799999999999,-140.43999999999997,-139.76799999999997,-124.47100000000005,-135.118,-135.40899999999996,-134.281,-145.80999999999992,-124.13199999999999,-140.35,-131.65000000000003,-142.49499999999995,-145.2999999999999
6,-201.13299999999964,-115.402,-126.12400000000005,-137.11599999999999,-137.545,-123.64300000000003,-131.116,-146.76999999999987,-150.78999999999988,-145.4799999999999,-137.21799999999996,-126.81400000000001,-138.397,-132.157,-131.35000000000002
7,-184.11699999999968,-126.4090000000001,-138.04599999999996,-129.44800000000004,-143.26299999999998,-122.58400000000002,-138.17499999999995,-135.20799999999997,-138.12999999999997,-138.90999999999994,-140.0739999999999,-138.99099999999996,-137.31999999999996,-139.61199999999994,-140.10999999999996
8,-167.53899999999976,-136.90600000000003,-138.85299999999998,-138.84999999999997,-134.887,-127.99900000000005,-146.82999999999987,-146.0619999999999,-148.1979999999999,-136.38699999999997,-125.22400000000005,-150.72699999999992,-133.78,-142.9749999999999,-143.73999999999992
9,-155.02599999999984,-148.43799999999993,-138.60399999999998,-139.31199999999995,-130.76200000000006,-130.84900000000005,-137.46999999999997,-146.36499999999995,-142.14099999999996,-137.545,-136.48,-134.119,-129.619,-131.737,-131.80599999999998
10,-143.88399999999993,-148.0749999999999,-157.00899999999984,-135.26199999999997,-131.46100000000004,-136.67500000000007,-142.83999999999992,-143.07999999999996,-156.81999999999982,-138.93699999999995,-143.16699999999994,-147.0609999999999,-122.07100000000003,-140.6319999999999,-130.03900000000004
11,-204.1689999999995,-158.4489999999998,-130.096,-129.565,-131.84500000000003,-155.09499999999986,-138.96999999999997,-130.657,-156.47499999999982,-138.26199999999994,-122.33500000000004,-133.44099999999997,-137.428,-142.75899999999996,-138.64299999999997
12,-189.0579999999996,-142.01199999999994,-140.79099999999994,-136.87899999999996,-134.02000000000007,-137.57799999999997,-134.95,-144.0609999999999,-145.1319999999999,-145.54899999999992,-123.36700000000003,-130.03600000000003,-136.906,-130.08700000000005,-146.14299999999992
13,-152.5239999999999,-165.02199999999976,-141.39099999999996,-132.69400000000002,-172.47099999999972,-152.81199999999984,-133.54,-141.97299999999996,-155.81199999999984,-145.7259999999999,-131.14300000000003,-133.594,-149.2869999999999,-121.95100000000005,-133.08999999999997
14,-172.09899999999996,-172.6029999999997,-139.05399999999995,-134.01999999999998,-165.1839999999998,-157.76799999999986,-135.376,-139.49199999999996,-165.42699999999985,-142.13799999999995,-137.89600000000002,-144.81099999999986,-151.0209999999999,-130.70800000000003,-140.49699999999993
15,-187.6809999999997,-142.90899999999993,-137.30499999999995,-136.80999999999995,-180.47799999999984,-158.8869999999999,-134.50000000000003,-146.97099999999995,-144.4479999999999,-143.57199999999995,-134.185,-128.23900000000003,-154.4109999999999,-125.29600000000005,-146.2119999999999
16,-182.51799999999974,-152.06199999999987,-154.4529999999999,-137.16999999999996,-141.26799999999994,-156.63099999999983,-136.615,-156.00699999999983,-136.504,-145.6899999999999,-138.349,-133.357,-173.7339999999998,-125.02900000000002,-136.51600000000002
17,-187.19100000000174,-171.01599999999976,-160.95699999999982,-145.2369999999999,-160.31499999999983,-174.05199999999982,-131.40400000000005,-151.66599999999988,-161.1849999999998,-145.59099999999992,-153.2469999999999,-137.96199999999996,-143.38599999999997,-130.21900000000005,-132.76000000000002
18,-218.63400000000175,-159.08799999999988,-168.3369999999998,-138.81699999999995,-154.5879999999999,-167.1609999999998,-130.64800000000008,-135.74500000000003,-176.81499999999969,-139.07799999999992,-141.53799999999998,-141.02499999999992,-176.5929999999998,-133.05700000000004,-141.46299999999997
19,-225.7050000000001,-186.04599999999962,-181.98099999999968,-153.57099999999983,-175.8039999999997,-164.36499999999984,-134.971,-131.293,-172.84599999999975,-139.75899999999996,-144.12999999999997,-134.59599999999998,-169.4769999999998,-133.66300000000004,-136.60899999999998
