Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.0005,0.005,0.001
1,0.2,0.00025,0.005,0.005
2,0.2,0.00075,0.005,0.001
3,0.2,0.00075,0.01,0.049999999999999996
4,0.3,0.001,0.005,0.0075
5,0.4,0.0001,0.001,0.001
6,0.4,0.0005,0.005,0.0025
7,0.4,0.0005,0.01,0.075
8,0.5,0.0005,0.01,0.001
9,0.5,0.0005,0.01,0.005
10,0.6,2.5000000000000005e-05,0.01,0.005
11,0.6,0.00075,0.005,0.025
12,0.7,0.00025,0.001,0.075
13,0.7,0.00075,0.001,0.049999999999999996
14,0.8,7.5e-05,0.005,0.001
15,0.8,0.00025,0.005,0.001
16,0.8,0.001,0.0005,0.049999999999999996
17,0.9,0.00025,0.005,0.075
18,0.95,0.00025,0.0001,0.001
19,0.95,0.00075,0.001,0.075
