Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-134.54500000000002,-119.023,-133.63,-140.20599999999993,-123.79600000000002,-107.34099999999998,-107.38899999999998,-128.43099999999998,-126.38199999999999,-96.938,-102.58,-135.63099999999997,-100.24600000000001,-101.59,-131.42800000000005
1,-130.14100000000002,-120.16300000000001,-130.591,-136.65699999999998,-153.37599999999986,-118.54000000000003,-116.01100000000001,-122.69799999999995,-135.78999999999994,-112.54900000000002,-100.678,-148.46499999999997,-100.33600000000001,-125.728,-120.01900000000003
2,-137.64999999999995,-133.54900000000004,-127.11100000000002,-138.69699999999995,-141.93100000000027,-117.01600000000003,-137.26299999999992,-135.41199999999998,-130.72,-103.91199999999999,-105.19000000000001,-123.05500000000006,-100.504,-136.41999999999993,-132.31900000000005
3,-130.79500000000002,-135.77499999999998,-127.69000000000003,-148.2249999999999,-187.1109999999999,-128.18800000000044,-130.89700000000002,-141.8499999999999,-134.32000000000002,-110.76700000000001,-143.88999999999993,-132.877,-100.267,-127.61500000000004,-143.96799999999996
4,-129.25000000000003,-142.82799999999992,-129.96100000000004,-153.42699999999985,-163.7619999999999,-133.40800000000002,-135.808,-138.12999999999994,-147.8499999999999,-127.08400000000002,-145.67199999999988,-142.56999999999994,-117.34899999999993,-141.31899999999993,-153.67599999999985
5,-142.89699999999993,-139.303,-142.55799999999996,-226.0029999999997,-179.1490000000014,-121.93900000000001,-137.92899999999997,-127.53999999999996,-141.12999999999997,-136.77999999999997,-137.515,-137.10099999999994,-115.13200000000002,-143.73399999999995,-134.92299999999997
6,-134.11600000000004,-127.44100000000006,-137.833,-157.1559999999999,-179.76500000000135,-117.598,-143.8029999999999,-105.037,-141.65499999999994,-137.758,-132.685,-149.86599999999993,-111.46900000000001,-133.92399999999998,-150.66999999999987
7,-140.90499999999994,-176.48799999999977,-131.608,-158.32599999999985,-169.27599999999984,-118.30900000000001,-139.81899999999996,-112.10799999999998,-132.88600000000002,-136.39299999999997,-132.25,-131.854,-106.90599999999999,-137.95599999999996,-143.9559999999999
8,-135.67,-174.88000000000093,-142.54599999999996,-141.44199999999995,-153.01299999999992,-125.97700000000002,-131.62000000000003,-123.74799999999993,-134.467,-135.82299999999998,-147.4389999999999,-154.1019999999998,-112.05999999999999,-134.875,-126.19900000000004
9,-147.9639999999999,-163.9640000000008,-145.17699999999994,-136.18599999999998,-157.08699999999988,-145.76199999999994,-134.53,-114.979,-155.61999999999983,-138.07299999999995,-130.666,-148.7709999999999,-129.988,-132.07600000000002,-140.92899999999992
10,-148.8639999999999,-169.40300000000076,-162.19200000000063,-133.50100000000003,-152.15199999999993,-140.26,-140.11899999999994,-133.10199999999998,-181.67199999999966,-133.16500000000002,-132.877,-153.83499999999987,-109.85799999999999,-142.3269999999999,-141.83199999999994
11,-142.90599999999995,-170.6130000000011,-228.7350000000009,-133.603,-155.39199999999988,-152.04699999999985,-129.28000000000003,-135.42999999999995,-170.34399999999977,-131.329,-139.81299999999993,-152.94699999999983,-115.309,-136.29999999999995,-136.33599999999996
12,-141.244,-170.002000000001,-188.05599999999967,-138.50499999999997,-165.83499999999987,-150.2409999999999,-134.44,-138.26199999999994,-164.9289999999998,-133.05400000000003,-146.0829999999999,-149.18199999999987,-104.53,-145.8789999999999,-139.80999999999997
13,-129.80800000000005,-164.20599999999985,-201.62499999999972,-137.83899999999997,-182.21199999999973,-142.43199999999996,-139.27899999999994,-134.49999999999997,-161.4429999999998,-130.144,-139.43799999999993,-140.38899999999995,-100.027,-154.4769999999998,-137.64999999999998
14,-132.382,-179.40099999999975,-183.55299999999974,-159.93099999999978,-202.11999999999975,-131.79100000000003,-128.93500000000003,-146.6259999999999,-164.81499999999977,-130.342,-137.70999999999998,-153.51099999999985,-103.24300000000001,-136.17999999999998,-137.82999999999998
15,-141.652,-182.77299999999974,-159.20499999999993,-156.55299999999983,-231.07899999999967,-131.344,-138.92799999999994,-151.16499999999985,-175.39599999999967,-137.27800000000002,-138.68799999999996,-151.17999999999986,-109.38700000000001,-150.38499999999982,-136.24599999999995
16,-147.70899999999995,-172.8189999999998,-178.93499999999995,-160.23699999999982,-210.81399999999968,-126.36700000000005,-140.19999999999996,-153.15399999999985,-143.11899999999994,-138.33099999999996,-133.03,-147.57099999999986,-100.951,-140.37399999999997,-135.17199999999997
17,-147.30399999999997,-167.96199999999982,-183.41199999999975,-153.58299999999983,-193.36299999999966,-147.301,-137.11899999999997,-137.58399999999997,-142.98099999999994,-137.34699999999998,-142.63299999999992,-130.42900000000003,-118.35699999999997,-138.85299999999998,-138.41199999999998
18,-151.3269999999999,-198.25899999999965,-217.90299999999974,-150.31299999999987,-237.13599999999988,-148.74400000000006,-133.363,-131.75800000000004,-149.50899999999987,-137.548,-134.986,-141.8379999999999,-117.32199999999993,-138.25,-130.132
19,-165.34599999999986,-230.25399999999973,-217.70499999999956,-139.63899999999995,-236.15500000000048,-122.86900000000006,-137.46999999999997,-152.72199999999995,-180.80199999999965,-134.209,-149.0019999999999,-140.82099999999994,-113.67999999999999,-134.758,-139.42299999999994
20,-178.8129999999998,-187.29900000000174,-177.8019999999998,-146.9769999999999,-181.64200000000153,-126.46600000000005,-138.1899999999999,-156.55199999999994,-181.4769999999997,-131.25100000000003,-170.3019999999997,-154.8669999999998,-120.82299999999995,-133.05100000000002,-164.70999999999978
21,-201.8529999999998,-234.50600000000162,-231.01200000000114,-148.8039999999999,-187.02900000000173,-128.71900000000005,-139.66899999999995,-168.66999999999982,-179.55999999999966,-133.67799999999997,-164.65599999999978,-147.1449999999999,-104.30499999999999,-142.804,-163.2339999999998
22,-218.0720000000003,-242.60799999999995,-187.0060000000015,-149.7369999999999,-185.75700000000168,-135.973,-136.92999999999995,-160.7499999999999,-170.60199999999972,-134.44,-166.27599999999975,-137.72499999999997,-119.34999999999998,-142.10199999999998,-169.65699999999978
23,-230.76600000000053,-270.65100000000155,-222.33100000000067,-141.08499999999998,-193.0470000000011,-134.236,-145.20999999999992,-160.41999999999987,-173.54799999999977,-134.464,-148.0839999999999,-152.28399999999985,-126.56199999999994,-157.2309999999999,-163.9569999999998
24,-181.32399999999976,-268.89700000000096,-191.5780000000015,-142.51299999999998,-154.86300000000023,-133.68699999999995,-135.87999999999994,-214.80399999999958,-188.1489999999996,-132.69400000000002,-146.1459999999999,-171.3189999999997,-101.956,-165.84099999999984,-161.51499999999982
