Algorithm ID,gamma,learning_rate,gae_lambda,ent_coef,vf_coef,clip_range,clip_range_vf,n_epochs
0,0.2,0.0005,0.3,0.005,0.3,0.35,0.35,2
1,0.3,0.0001,0.95,0.001,0.5,0.35,0.1,2
2,0.3,0.0005,0.7,0.01,0.4,0.1,0.1,2
3,0.5,0.0001,0.5,0.001,0.75,0.25,0.4,2
4,0.5,0.00025,0.8,0.01,0.6,0.3,0.15,2
5,0.6,0.0005,0.6,0.005,0.5,0.15,0.15,2
6,0.6,0.001,0.4,0.005,0.3,0.3,0.15,2
7,0.8,0.00075,0.2,0.01,0.6,0.2,0.1,2
8,0.9,0.00075,0.8,0.005,0.4,0.25,0.15,2
9,0.95,0.00025,0.2,0.001,0.7,0.2,0.15,2
