Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,Reward 16,Reward 17,Reward 18,Reward 19
0,-2.056542745674414,-13.738615947227999,-73.0850357627102,1.6076028675987513,-1.5204452706113258,-27.747294324265017,-10.16432372740804,2.8550455646286896,-6.79123816407495,2.6526743846558776,-8.045318157960299,-3.1403056533985745,-77.89020834789457,-0.7025368296674681,0.3241021751084402,-8.268919988843804,-35.16171785943023,-4.27203970776065,-9.062579080716096,0.8308005475168396
1,-32.48675458842484,1.1366705979793328,-81.1009979871155,-36.08593029172913,-10.523145815407753,-75.55656852063335,-1.6101248607368,-4.064494918836584,-0.08203829385544767,0.7920321766691796,-4.534322632519006,8.725961304538595,-83.55635492954727,-1.4273620348634233,-7.784948589855747,-79.22526124291498,-90.90891297117334,-83.30787065902379,-47.23856035948829,-4.720043098599698
2,-45.020687482274454,-28.691357737194572,-85.67889652012533,-70.40475610047115,0.5651152163888967,-107.71328185865976,-6.38347152988721,-18.52293780317443,1.9654749451052147,-5.650441882802799,-1.912606787778723,-5.0371900690218085,-95.56655484793394,-8.275659775696303,-3.1596453878243107,-80.79513861412468,-90.319877240596,-103.31683143130867,-1.1178641124622257,-3.206979502597047
3,-45.335530913671185,-40.29509876704246,-98.93683648875916,-89.9817338983894,-0.6549548527261293,-94.03302980196614,-5.291805121543993,-57.82728763473583,-21.687837180258875,2.6403912285833018,3.0042440159073966,0.6512341900104112,-79.39391879134465,-6.091252637234166,-43.348460051651834,-103.35847783492054,-81.21838515145183,-110.03106853701402,-0.5387146700808042,-6.672465470280068
4,-84.8666910187288,-59.37124995418441,-87.06767557637743,-130.17459064964424,-0.6667558199904284,-90.05809581340804,-1.304812397695359,-77.06158203506402,-81.45083911933408,-2.5853688572851956,0.39296513266246114,-0.24298650276668782,-70.4047387569923,-8.888809905936025,-93.92546981533131,-90.4624105270497,-96.91688053576613,-95.1672307840193,-17.58273340333113,-16.098449562573073
5,-96.20452456957722,-65.49904573856317,-79.21333290129347,-65.23737856158468,-17.014056262370726,-71.72498533406994,-10.032101439047972,-94.32349687621186,-103.91779360181245,-13.0714562996945,1.0612080613630135,-22.410144201084,-20.341866851696942,-7.867680259186929,-119.57203993535566,-94.76016511528587,-84.2829278512398,-101.17914161721993,-9.57825707499777,-13.503037170443715
6,-95.7506149603083,-112.59191918376555,-95.33887621556492,-93.44818955344674,-14.180514204250077,-26.37693141684275,-1.248628235030706,-100.55227678995638,-126.84182398892605,-1.0059176675867274,-5.344822771217879,-52.1420688809877,-7.24632931944971,-19.058776727715554,-48.144230354554175,-84.87454378664836,-75.89214814533962,-46.03728051309669,-17.071180918322955,-7.390497495320012
7,-95.80746700640957,-137.46200632521567,-88.16502057484132,-41.297257092965495,-1.885131733092242,-14.11637451061612,-0.3463373899455121,-103.26970627762799,-124.16114743009578,-9.237945551808448,-0.563886420175006,-93.62621154476396,-2.1304469388461897,-29.297635147539648,-1.4870134634403374,-68.35093705561621,-52.58986942725691,-19.51480240926103,-15.417469191528308,-5.3485993130860034
8,-42.91172450769574,-82.0000266155997,-87.39230503504406,-87.89830447234458,4.674936863534336,-67.21204863556211,4.5456314907844995,-107.43680588643743,-126.80531791027985,-9.45572806449716,0.6606140650673252,-100.98572562336363,-85.23874446733446,-49.249508534602306,-30.872414899300008,-77.40572657076036,-13.79150873684049,-27.887511465584346,-19.556034291523012,-9.543676152191548
9,-0.5963947928568496,-67.05226668653748,-79.50248340513386,-62.55650691189063,-7.1619130361286185,-77.43351155718712,-3.906979794911925,-88.75078727834406,-119.55033037505271,-19.16684137567897,0.6771197449191868,-107.78886373159807,-89.32346626340505,-52.47038306165756,-9.542876958379042,-52.178139055019656,-5.099952789409376,-17.38398857361515,-12.020295706112694,-24.241737406805516
