Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,4,876,9.7,0.7810249675906655
1,4,1767,9.2,0.6
2,1,2707,9.2,0.8717797887081347
3,1,3463,9.1,0.8306623862918076
4,4,4228,9.6,0.66332495807108
5,1,5188,9.4,0.7999999999999999
6,4,6076,9.6,0.66332495807108
7,4,6964,9.5,0.9219544457292888
8,4,7772,9.1,0.5385164807134504
9,1,8747,9.1,0.7000000000000001
10,4,9583,9.2,0.6
11,4,10333,9.5,0.6708203932499369
12,1,11109,9.1,1.0440306508910548
13,1,11964,9.5,1.02469507659596
14,4,12769,9.5,0.9219544457292888
15,1,13610,9.4,0.7999999999999999
16,1,14376,9.5,0.6708203932499369
17,4,15174,9.3,0.9000000000000001
18,4,16051,9.4,0.8
19,4,16857,9.2,0.7483314773547883
20,4,17739,9.0,0.7745966692414834
21,4,18535,9.2,0.8717797887081348
22,1,19375,9.1,0.8306623862918076
23,0,20408,20.6,4.7791212581394085
24,0,21358,23.9,7.955501241279521
25,1,22261,9.0,0.6324555320336759
26,0,23295,9.2,0.6
27,1,24184,9.7,0.6403124237432849
28,1,25065,9.5,0.6708203932499369
29,4,25969,9.7,0.45825756949558394
30,4,26904,9.6,0.8
31,4,27785,9.3,0.6403124237432849
32,4,28598,9.3,0.7810249675906654
33,1,29450,9.2,0.9797958971132712
34,1,30206,9.8,0.6
35,1,31053,9.2,0.9797958971132711
36,4,31823,9.7,0.6403124237432849
37,1,32816,9.5,0.6708203932499369
38,1,33566,9.6,0.4898979485566356
39,4,34391,9.4,0.8
40,1,35212,9.6,0.4898979485566356
41,4,36086,9.2,0.7483314773547883
42,4,36893,9.1,0.7000000000000001
43,1,37713,9.3,0.6403124237432849
44,4,38605,10.0,0.4472135954999579
45,1,39531,9.4,0.66332495807108
46,1,40400,9.7,0.45825756949558394
47,4,41266,9.9,0.5385164807134504
48,1,42035,9.1,0.5385164807134504
49,4,42814,9.8,0.7483314773547883
50,4,43607,9.1,0.9433981132056604
51,1,44497,9.3,0.6403124237432849
52,4,45249,9.2,0.8717797887081348
53,4,46035,9.1,0.8306623862918076
54,1,46947,9.7,0.7810249675906655
55,1,47893,9.4,0.66332495807108
56,4,48730,9.4,0.66332495807108
57,4,49603,9.6,0.6633249580710799
58,4,50493,9.2,0.6
59,4,51320,8.9,0.7000000000000001
60,1,52194,9.8,0.8717797887081348
61,1,53082,9.3,0.45825756949558405
62,4,54059,9.2,0.6
63,1,54963,9.1,0.5385164807134504
64,4,55941,9.9,0.7000000000000001
65,1,56766,9.5,0.806225774829855
66,4,57640,9.7,0.6403124237432849
67,4,58519,9.4,0.66332495807108
68,4,59426,9.5,0.5
69,1,60239,9.2,0.7483314773547883
70,1,61134,9.2,0.7483314773547883
71,1,61891,9.2,0.6
72,1,62684,9.0,0.6324555320336759
73,1,63584,9.0,0.6324555320336759
74,4,64358,9.3,0.6403124237432849
75,4,65240,9.1,0.7000000000000001
76,4,66062,9.1,0.5385164807134504
77,4,67050,9.3,0.45825756949558394
78,4,68056,9.3,1.004987562112089
79,1,68997,9.3,0.6403124237432849
80,1,69925,9.4,0.66332495807108
81,4,70782,9.0,0.7745966692414834
82,4,71645,9.4,0.66332495807108
83,4,72511,9.5,0.9219544457292888
84,1,73377,9.3,0.7810249675906655
85,1,74288,9.1,0.9433981132056604
86,4,75101,9.5,0.6708203932499369
87,4,75948,9.2,0.7483314773547883
88,1,76793,9.5,0.806225774829855
89,4,77678,9.3,0.6403124237432849
90,4,78437,9.7,0.6403124237432849
91,1,79312,9.3,0.9000000000000001
92,4,80284,9.2,0.6
93,4,81182,9.3,0.6403124237432849
