Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-180.47900000000044,-140.026,-133.93,-101.296,-100.88499999999999,-115.37500000000003,-133.15,-133.3,-138.23799999999997,-123.61600000000003,-138.76299999999995,-114.51700000000001,-144.51999999999992,-136.51299999999998,-132.14800000000005
1,-124.36900000000003,-136.80999999999997,-135.682,-101.275,-113.845,-108.44500000000001,-145.1799999999999,-154.59099999999984,-137.452,-150.9520000000001,-132.58,-116.72800000000004,-140.2,-138.27999999999994,-134.164
2,-131.52400000000003,-131.851,-148.19199999999987,-102.508,-114.75100000000002,-116.16100000000002,-128.74600000000004,-130.57000000000002,-147.20799999999988,-145.7010000000001,-135.67,-102.18400000000003,-127.99299999999997,-113.107,-132.049
3,-140.54799999999994,-140.09199999999996,-133.78,-101.23300000000002,-130.36000000000004,-128.97100000000003,-160.75599999999986,-126.21400000000006,-133.39,-158.00799999999987,-138.60999999999996,-131.12599999999995,-133.759,-103.98100000000002,-145.48599999999993
4,-127.66,-127.13800000000003,-127.30000000000004,-118.51000000000002,-119.90800000000004,-133.339,-151.5470000000003,-139.47399999999996,-164.90100000000115,-145.83699999999993,-134.2,-134.9869999999999,-132.51399999999995,-105.11200000000001,-140.30499999999992
5,-126.373,-132.805,-132.97600000000003,-128.97700000000003,-132.49000000000007,-136.95699999999994,-172.20999999999992,-131.662,-166.64199999999983,-158.75799999999984,-129.43000000000006,-187.21900000000053,-139.23999999999995,-118.144,-148.21299999999988
6,-128.014,-151.35999999999981,-131.07999999999998,-143.50899999999996,-136.183,-142.92699999999996,-138.478,-138.44199999999995,-180.65799999999973,-171.65199999999973,-137.04999999999998,-145.67600000000067,-149.55999999999983,-130.34500000000006,-111.874
7,-134.64100000000002,-135.631,-128.41900000000004,-151.63899999999995,-140.40099999999995,-154.74399999999994,-138.04900000000004,-125.48200000000001,-174.42099999999968,-190.00299999999987,-134.74000000000004,-178.40200000000146,-139.74999999999994,-131.81200000000004,-114.874
8,-145.69899999999996,-130.45,-130.61500000000004,-153.69999999999996,-146.0799999999999,-156.0069999999999,-140.30199999999996,-121.33900000000003,-159.36999999999983,-219.53199999999987,-137.52999999999997,-179.09000000000077,-144.0999999999999,-123.26500000000003,-120.70300000000002
9,-145.93299999999994,-130.987,-129.84700000000004,-141.76,-138.679,-140.82699999999994,-142.26399999999998,-128.76100000000005,-158.8359999999998,-234.84999999999974,-133.43499999999997,-167.00199999999984,-130.12000000000003,-121.56700000000005,-126.70600000000002
