Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-107.02000000000001,-100.201,-115.33900000000003,-101.668,-132.742,-140.75199999999995,-118.74100000000003,-125.61100000000003,-135.05799999999996,-128.12500000000003,-132.226,-138.24999999999994,-146.94999999999987,-125.34400000000001,-102.175
1,-126.46300000000001,-129.652,-129.10600000000002,-122.01699999999998,-133.012,-137.07999999999998,-113.47399999999996,-136.99299999999997,-100.477,-121.43200000000002,-134.16399999999996,-134.683,-139.44999999999996,-146.72199999999992,-141.637
2,-112.048,-140.419,-139.03299999999996,-139.25199999999998,-147.30099999999987,-136.75,-146.48199999999994,-145.7709999999999,-121.63900000000001,-123.65800000000004,-132.94000000000003,-143.1819999999999,-129.85000000000005,-135.77799999999996,-138.27999999999997
3,-126.37000000000005,-139.03,-134.55999999999995,-178.36500000000106,-128.803,-130.22500000000002,-154.7649999999999,-135.466,-179.71899999999965,-127.58200000000002,-131.87199999999999,-138.09999999999997,-134.44,-140.19699999999995,-104.67699999999999
4,-128.54200000000006,-136.756,-139.11999999999995,-185.38200000000168,-134.55399999999997,-123.79000000000003,-144.91899999999995,-132.406,-157.86099999999982,-130.84300000000005,-129.55900000000003,-133.06,-146.18199999999987,-130.42000000000002,-132.85
5,-144.41499999999996,-132.91,-102.136,-162.9930000000001,-141.8859999999999,-143.61999999999995,-133.63900000000004,-142.53399999999993,-139.71699999999996,-155.86899999999991,-136.054,-143.9499999999999,-147.3039999999999,-135.93999999999997,-133.18
6,-140.176,-143.84499999999994,-107.91100000000002,-169.53999999999988,-130.86700000000002,-133.26999999999995,-155.07699999999988,-140.16699999999992,-148.8639999999999,-156.77799999999988,-152.63199999999983,-132.43,-148.13799999999986,-131.815,-138.54399999999993
7,-131.48200000000003,-129.04000000000005,-119.07400000000011,-154.9539999999999,-134.96499999999997,-130.15899999999996,-166.9239999999998,-150.10899999999987,-166.54899999999975,-159.39399999999986,-139.04199999999997,-137.64999999999998,-133.52800000000002,-139.78299999999996,-123.80199999999998
8,-140.2,-135.06999999999994,-146.0259999999999,-167.25099999999983,-130.46800000000002,-140.38899999999998,-171.65799999999982,-137.76399999999995,-165.37599999999978,-153.7839999999999,-143.0829999999999,-134.74,-137.98899999999998,-162.1539999999997,-121.46200000000002
9,-167.85399999999984,-132.28000000000003,-149.40099999999987,-170.6139999999998,-134.28700000000003,-152.49099999999981,-238.28300000000172,-138.00999999999993,-221.26599999999948,-167.64099999999982,-143.73999999999992,-134.68,-140.67399999999992,-233.4459999999996,-140.12799999999993
