Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.0005,0.005,0.001
1,0.2,2.5e-06,0.005,0.001
2,0.2,0.0005,0.005,0.049999999999999996
3,0.2,0.00075,0.01,0.0075
4,0.3,0.00075,0.01,0.001
5,0.4,0.00025,0.001,0.001
6,0.4,0.00075,0.0005,0.010000000000000002
7,0.4,0.00075,0.005,0.0075
8,0.5,0.00025,0.005,0.025
9,0.5,0.0005,0.01,0.010000000000000002
10,0.6,0.0005,0.005,0.0025
11,0.6,0.001,0.01,0.005
12,0.7,0.0001,0.001,0.0025
13,0.7,0.00075,0.001,0.025
14,0.8,0.0005,0.005,0.001
15,0.8,0.001,0.001,0.010000000000000002
16,0.9,5e-05,0.005,0.001
17,0.9,0.0001,0.001,0.001
18,0.9,0.001,0.005,0.001
19,0.95,0.00025,0.01,0.0025
