Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-127.41100000000003,-139.36599999999993,-119.63199999999995,-128.10400000000004,-134.69799999999998,-126.06400000000004,-134.32299999999998,-144.63999999999993,-138.35199999999995,-102.367,-116.33200000000002,-123.61900000000006,-133.81,-119.26300000000003,-147.03999999999988
1,-130.76500000000001,-141.67599999999993,-144.7059999999999,-129.74200000000002,-139.85199999999995,-124.80100000000002,-132.55,-133.72899999999998,-143.05299999999994,-152.81499999999986,-136.285,-127.49500000000003,-131.113,-132.847,-137.70999999999998
2,-135.96999999999997,-116.58099999999999,-133.08999999999997,-130.41400000000002,-123.46600000000004,-130.00000000000003,-141.63999999999993,-141.9579999999999,-141.39999999999995,-136.67499999999998,-146.8719999999999,-131.14600000000002,-130.20999999999998,-147.2229999999999,-139.45
3,-134.2,-126.75400000000002,-136.36599999999999,-130.969,-114.679,-137.38899999999998,-124.33900000000006,-143.20599999999993,-128.62900000000002,-138.92499999999995,-138.39999999999995,-137.635,-141.30399999999992,-131.79400000000004,-144.9399999999999
4,-129.07000000000002,-146.7039999999999,-131.275,-111.85,-152.94099999999992,-136.51000000000002,-133.89699999999996,-131.278,-132.43300000000002,-141.9099999999999,-140.84799999999998,-134.305,-131.56,-136.858,-145.14999999999992
5,-133.45000000000002,-152.59599999999986,-141.52599999999993,-116.81800000000001,-167.51199999999977,-140.43699999999995,-132.89800000000002,-124.24599999999998,-131.524,-145.8699999999999,-147.03399999999996,-133.378,-128.92000000000002,-138.11199999999997,-139.50999999999993
6,-132.07,-147.27999999999992,-142.61499999999995,-117.46900000000002,-154.80999999999986,-134.15200000000002,-137.54199999999997,-130.61500000000004,-135.60399999999998,-139.339,-150.87399999999997,-147.6849999999999,-140.32599999999994,-134.72200000000004,-139.89999999999998
7,-139.22199999999992,-141.74499999999995,-133.14100000000002,-120.742,-154.64799999999985,-140.72799999999992,-142.36899999999994,-149.36499999999987,-143.82999999999993,-125.53900000000003,-184.62600000000162,-148.07499999999987,-130.67200000000003,-142.8669999999999,-140.05299999999994
8,-144.9609999999999,-154.14399999999983,-137.72799999999998,-117.42699999999999,-155.73699999999988,-139.31199999999998,-135.12999999999997,-148.35399999999987,-153.2169999999998,-132.86800000000002,-206.2749999999997,-152.73999999999984,-141.70299999999992,-130.28800000000007,-148.95999999999987
9,-139.34199999999993,-166.66599999999974,-133.35999999999999,-102.00800000000001,-162.3039999999998,-137.98599999999996,-140.63799999999998,-166.36599999999973,-132.08500000000004,-136.50099999999998,-149.84799999999998,-138.37899999999996,-134.09199999999998,-135.25599999999997,-133.51
