Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-101.917,-132.27700000000004,-100.0,-124.18300000000002,-119.55400000000002,-139.39899999999994,-122.93800000000003,-133.39,-138.01899999999995,-102.016,-137.58999999999995,-124.261,-129.07300000000004,-129.88000000000005,-132.412
1,-101.968,-134.26,-102.769,-111.766,-151.49199999999985,-138.12999999999997,-135.30100000000002,-143.52999999999992,-141.66999999999993,-100.375,-137.75799999999992,-140.9439999999999,-100.906,-139.24599999999992,-129.43300000000002
2,-104.41599999999998,-139.36599999999999,-124.054,-128.62600000000003,-133.012,-128.06500000000003,-110.65600000000002,-138.96999999999997,-124.87000000000003,-109.003,-142.2849999999999,-137.62899999999993,-105.78100000000002,-127.12000000000003,-140.9499999999999
3,-143.77299999999988,-140.93799999999996,-128.28700000000003,-125.95000000000005,-131.75500000000002,-123.32199999999997,-119.06200000000001,-139.68099999999993,-133.66,-112.08400000000002,-108.74900000000002,-142.98099999999994,-144.63999999999993,-141.21999999999994,-130.63000000000002
4,-137.87799999999996,-180.62499999999972,-134.94099999999995,-132.08500000000004,-129.241,-135.64000000000001,-115.22800000000002,-127.90000000000005,-131.26000000000002,-128.293,-114.58300000000001,-127.13500000000003,-136.64199999999997,-128.02000000000004,-148.02999999999986
5,-139.57299999999995,-150.96399999999988,-143.4159999999999,-149.43999999999997,-132.565,-139.95399999999992,-141.523,-132.19600000000003,-143.96799999999993,-127.56100000000004,-138.795,-146.56599999999997,-144.48999999999992,-128.65000000000003,-141.51999999999992
6,-138.75699999999998,-142.58499999999998,-129.83200000000002,-151.48599999999993,-137.31999999999994,-102.244,-141.92799999999997,-132.34300000000002,-143.88699999999992,-146.59600000000003,-140.24199999999993,-149.67099999999988,-140.40399999999997,-136.42,-151.24000000000004
7,-134.80300000000003,-134.57800000000003,-135.03699999999995,-130.32400000000004,-127.83999999999999,-108.352,-129.97000000000006,-137.66199999999998,-141.22899999999993,-155.2320000000007,-171.60999999999973,-152.50599999999986,-140.40999999999997,-136.14999999999998,-136.32999999999996
8,-134.22999999999996,-139.549,-131.46100000000004,-136.63000000000002,-142.98999999999992,-106.174,-139.588,-133.25799999999998,-146.2899999999999,-173.14899999999983,-206.25099999999983,-138.93699999999995,-137.66499999999994,-125.92000000000004,-132.22
9,-141.2709999999999,-147.88599999999988,-127.03600000000002,-133.34500000000003,-142.62999999999994,-105.652,-142.408,-123.21700000000001,-134.32600000000002,-151.7990000000003,-202.79300000000015,-144.36099999999993,-158.87199999999984,-148.23999999999987,-140.04999999999995
10,-132.286,-142.45299999999992,-133.024,-143.90499999999997,-131.8,-115.66000000000004,-161.1939999999999,-129.76600000000002,-146.0409999999999,-185.4180000000005,-232.86699999999996,-145.41099999999992,-157.5309999999998,-134.65,-142.23999999999992
11,-147.6489999999999,-161.36799999999977,-121.64500000000002,-133.43200000000002,-142.2999999999999,-112.40800000000002,-168.9879999999998,-123.79,-138.85899999999998,-155.91399999999987,-241.8760000000011,-163.50699999999986,-165.47499999999982,-126.88000000000004,-140.10999999999996
12,-136.16199999999998,-160.25199999999995,-127.43500000000002,-138.56799999999998,-134.20299999999997,-115.46200000000002,-160.85199999999986,-119.38600000000001,-142.61799999999994,-180.89199999999985,-168.54399999999984,-170.7459999999998,-180.59199999999973,-136.74999999999994,-134.04999999999998
13,-133.69000000000003,-135.45999999999998,-125.59000000000003,-150.42999999999995,-142.11399999999992,-127.17699999999999,-151.95099999999994,-127.423,-135.634,-171.63500000000082,-176.73399999999978,-250.56000000000122,-196.14099999999968,-134.44,-138.12999999999994
14,-144.5079999999999,-144.6579999999999,-121.75600000000001,-160.55199999999985,-148.0209999999999,-146.64699999999996,-169.7079999999998,-121.32400000000004,-131.43100000000004,-179.4579999999998,-200.8530000000022,-172.10799999999978,-177.7929999999998,-134.52999999999997,-131.76999999999998
15,-135.05499999999995,-159.33999999999983,-118.59100000000004,-181.72899999999976,-152.6079999999999,-181.1439999999997,-175.73999999999998,-124.25200000000002,-130.08700000000005,-213.58200000000048,-205.33000000000203,-159.09099999999984,-156.24699999999993,-137.85999999999999,-133.12
16,-131.93800000000002,-169.17699999999974,-123.60400000000001,-232.09000000000006,-147.9099999999999,-208.99299999999963,-196.67399999999998,-118.69099999999999,-132.517,-190.2369999999997,-216.92600000000022,-172.2909999999999,-159.1269999999999,-130.9,-133.36
