Algorithm ID,gamma,learning_rate,exploration_fraction,exploration_initial_eps,exploration_final_eps
0,0.2,0.0005,1.0,0.15,0.15
1,0.3,0.0001,0.95,1.0,0.05
2,0.3,0.0005,1.0,0.2,0.2
3,0.5,0.0001,0.9,1.0,0.05
4,0.5,0.00025,0.99,1.0,0.05
5,0.6,0.0005,0.95,1.0,0.05
6,0.6,0.001,1.0,0.2,0.2
7,0.8,0.00075,0.99,1.0,0.05
8,0.9,0.00075,1.0,0.2,0.2
9,0.95,0.00025,0.9,1.0,0.05
