Algorithm ID,gamma,learning_rate,gae_lambda,ent_coef,vf_coef,clip_range,clip_range_vf,n_epochs
0,0.1,0.001,0.3,0.0,0.6,0.4,0.3,2
1,0.3,0.00025,0.4,0.001,0.5,0.15,0.15,2
2,0.3,0.001,0.7,0.01,0.4,0.2,0.25,2
3,0.4,0.0005,0.3,0.005,0.3,0.35,0.3,2
4,0.5,7.5e-05,0.2,0.01,0.25,0.1,0.4,2
5,0.6,0.00075,0.9,0.001,0.7,0.2,0.35,2
6,0.7,0.00025,0.8,0.005,0.4,0.25,0.4,2
7,0.8,0.0001,0.6,0.005,0.7,0.25,0.2,2
8,0.8,0.0005,0.95,0.005,0.6,0.3,0.25,2
9,0.9,0.0005,0.5,0.005,0.5,0.3,0.1,2
