Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,2,64,49.0,15.316657598836633
1,4,170,69.6,21.703455946000858
2,1,287,49.2,7.573638491504595
3,7,383,55.7,24.66596845858682
4,0,490,50.2,17.831432920547915
5,3,638,59.8,32.08675739304301
6,5,751,60.2,33.91400890487587
7,8,849,63.5,33.227247854735126
8,6,953,60.1,23.775828061289474
9,9,1046,47.2,22.87269114030966
10,1,1141,40.2,12.351518125315609
11,3,1245,39.0,12.385475364312828
12,7,1343,45.1,11.835962149314266
13,0,1459,30.1,2.4677925358506134
14,5,1552,38.3,8.967162315916893
15,0,1666,33.0,4.9396356140913875
16,3,1764,29.9,3.448187929913334
17,3,1861,31.6,2.727636339397171
18,0,1951,31.8,4.142463035441596
19,3,2047,31.5,2.7658633371878665
20,8,2144,30.1,3.144837038703278
21,0,2241,27.1,4.90815647672321
22,6,2334,43.4,8.368990381163071
23,4,2437,49.4,12.831211945876353
24,2,2536,29.4,3.7202150475476548
25,9,2625,40.3,10.080178569846865
26,7,2733,22.4,2.2891046284519194
27,5,2813,25.8,2.315167380558045
28,8,2904,25.8,3.370459909270543
29,3,2994,17.0,2.0976176963403033
30,7,3073,18.3,2.282542442102666
31,8,3154,15.6,1.6852299546352716
32,7,3231,17.2,2.2715633383201093
33,8,3311,16.5,2.4596747752497685
34,7,3395,16.8,1.9899748742132397
35,4,3476,36.7,4.450842616853578
36,2,3567,25.1,4.060788100849391
37,7,3661,17.3,1.846618531261939
38,8,3740,13.6,1.0198039027185568
39,6,3816,39.7,5.273518749374084
40,8,3918,14.6,2.1999999999999997
41,1,3999,12.7,1.5524174696260025
42,0,4076,13.5,1.6278820596099706
43,9,4152,48.1,6.17170964968379
44,0,4260,14.0,1.5491933384829668
45,9,4337,15.1,1.8138357147217055
46,8,4412,13.0,1.61245154965971
47,9,4489,14.3,1.9000000000000001
48,3,4566,11.3,1.1874342087037917
49,8,4640,11.6,1.5620499351813308
50,3,4719,10.9,1.2206555615733703
51,8,4794,11.6,1.2806248474865698
52,0,4871,11.1,1.6401219466856725
53,0,4945,10.8,0.9797958971132712
54,3,5021,9.4,0.9165151389911681
55,4,5093,29.7,4.561797891182818
56,9,5189,13.7,1.4866068747318506
57,7,5267,11.7,1.4866068747318506
58,5,5341,15.5,1.746424919657298
59,8,5420,11.3,1.004987562112089
60,1,5494,11.4,1.019803902718557
