Algorithm ID,gamma,learning_rate,exploration_fraction,exploration_initial_eps,exploration_final_eps
0,0.1,0.001,0.9,1.0,0.05
1,0.3,0.00025,0.9,1.0,0.05
2,0.3,0.001,1.0,0.2,0.2
3,0.4,0.0005,1.0,0.15,0.15
4,0.5,7.5e-05,1.0,0.05,0.05
5,0.6,0.00075,0.95,1.0,0.05
6,0.7,0.00025,1.0,0.2,0.2
7,0.8,0.0001,0.99,1.0,0.05
8,0.8,0.0005,0.95,1.0,0.05
9,0.9,0.0005,0.95,1.0,0.05
