Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,Reward 16,Reward 17,Reward 18,Reward 19
0,-7.511586530151644,-5.839584212899193,1.6190445650134813,-3.423033326750712,-2.959776073102673,-5.306356665926253,-4.977356887705891,-0.25233100752832344,-6.867764313951194,-5.6043242236221325,-2.60415801078421,1.656340041178686,1.9930554542926202,-2.6241276575253893,-8.607001847005362,-4.436144408653332,-2.3565641211137787,-0.08502515126112016,0.12222042366110024,0.1456716825688636
1,-3.8019611551073105,2.114656441540142,-11.773004221819452,-15.052308569518967,-1.2622743747024476,-5.054953644105464,-2.0572350391055947,-1.221810180039359,-4.797373496312737,-5.383512142944605,0.0014363537844842788,-2.431784353785394,-9.903705556275368,-8.686132816883832,-5.093532286356917,-1.219633823113905,-12.286210440018584,-4.229825043588872,-5.18050594597514,-4.083852055563886
2,-2.2833521199665108,0.26230047580348065,-8.217209351710029,-6.931106709080163,-2.1972470374677413,-6.347594541667582,-2.6072059583730756,-8.505462085024357,8.002708855054308,-7.107846314516239,0.6933149875670691,-2.139683149797727,-2.097718654421617,-10.37208272737329,-6.848182472621019,0.7945331881221211,-7.620096771998574,-7.187733006222959,2.5514420828769406,-2.4818930344946084
3,-5.495801834588045,-5.635311735649398,-17.325693278855198,-3.728321084202098,0.5420896924317373,-7.132053825502171,-3.77707661356416,-14.193682625167094,-7.722536598662512,-7.552538028924658,-2.936850701052083,-9.620754091630303,-0.9406712925853247,0.033567191851376466,-3.963396791713482,-6.6182480359034885,-21.553354351571958,0.8452150263291562,-2.7426085544453387,-5.059111427611299
4,-2.619891420010987,-3.7272574825134512,-23.477784611704152,-4.279263631771851,4.3552052282486535,-1.7915321398900503,2.5029543215267513,-10.800633874030172,2.0101876186082315,1.2204779540891213,-3.6665308620204597,-8.690584424190993,-1.6152995545429587,-0.19143661991292477,1.9311698845503795,-2.395493943461596,-24.568168756208603,-2.140186469128664,4.192611865796326,-6.774217752988439
5,4.919554510126837,0.3404508800719851,-5.024466894839631,-10.667323446268009,-4.603199356908428,-3.3500726695844962,-3.931174380676326,1.5397358399282437,1.406724492868862,-4.1232427708868205,-2.381579348701758,-4.542177450747144,3.9379524144022127,-0.7311961852147377,-4.385655024761457,-8.382420794135104,-16.914999822529655,5.993382547545663,-0.6693326336222831,-3.5262772982018107
6,-1.3862545503660577,-2.869898565354058,-8.129336247776934,-10.60018308563119,-0.45563858778059363,-3.5482782353774356,-2.7547531584092693,-5.336885912235645,-0.4183143474592798,0.09244173603622699,-4.038975714130929,-2.901281944039133,1.8566956497895553,-4.247159115271305,2.5130914734822207,0.6561953948704854,-23.395215380604114,0.2939884563356189,1.2400494778346673,-14.414929418035465
7,2.470083747296,-2.0882330757527092,-15.18875176529823,-11.766789764227934,-3.140555069936594,-1.8396753440784948,-4.809523757346318,-8.694924750426496,-1.7219312966497475,-6.561461837201461,-6.730961068389415,2.434804495455121,-5.087055795228466,-7.341526967706005,-6.674588615127027,-1.8008465856378109,-19.08086986365974,0.5648589699005936,4.792635194397173,-2.1328073627786606
8,-8.797138208616436,-3.4133301734421715,-15.409718845206147,-12.461097153427835,4.462812680378227,-1.6246783819257213,-4.220119204851412,-10.308834310855165,0.6270389842101336,-5.770728163835997,-2.9405870700196037,-1.8434874296458112,-0.35703957074767717,-9.3096953489767,3.713768423195174,1.8063940659740365,-13.064394889605433,1.1760526236672428,-0.6404902308311463,-17.992093076530526
9,-0.7893847008851541,3.5219190612906326,-9.639039704782732,-24.838785309392513,-9.173782792711323,-7.528464626449853,-1.8516418625722373,-4.267979543436599,-4.457584832186473,-20.06491405724286,0.7910589324722868,-0.5922981338276899,-5.743254198233776,-9.417603934861656,-0.9985407827553783,0.8758771554022043,-27.67419470112939,-2.2594009124986507,-2.2485801681985143,-45.08605451467118
10,7.948606897550929,-2.940226709453595,-11.178418923154117,-24.958445846216716,-5.546476414243889,-3.0634288406681174,-5.348810691601573,-3.544554326595494,-0.018670500155848303,-6.179815396603653,-4.6038428618118745,-6.815185141821004,-8.411829200855962,-11.287274131503274,-4.1881016480053885,-1.5317020284452645,-24.554589319265524,-6.794730492741133,5.133972145257631,-40.727597470337386
11,-17.344248354811317,-2.978628862705526,-10.864283748999604,-8.617848988295552,-3.7332033430282054,-1.2965695561866875,-0.2578765763729739,-13.898951770052511,3.6710672753275704,-12.039526228435612,-1.2704109007632909,-2.5339427249386235,-4.208444965961141,-9.278670368716568,-6.012782255912985,1.92641232606652,-8.221674884144532,3.0751099911217747,0.028700961725569483,-34.90970128406954
12,-1.3726103448225297,2.395581758886817,-7.979123238138223,-0.5227468468227159,-3.0275311790893906,0.6217094867943578,-2.1032240096007255,-13.773963316151542,1.810423630962395,-6.711009016037506,2.314233286222871,-3.0783864927408464,-4.080532315081194,-0.5503437552158176,-16.962738614689652,-9.03008191603481,-3.2868239555735004,-6.270646458756164,-8.732721775423684,-39.72381183059231
13,-4.0369123051924625,-0.09789790938143028,-12.241898517071661,-7.2866381545270285,-4.421922059267004,0.6561832669608127,-5.2082122599430765,-7.110642599688066,-1.0037776620451524,-1.1830632911199643,-0.9190179794894562,0.9735190329791692,-3.7759081124795357,-11.394913222761483,-51.634902977106364,-1.6869928823457232,-7.76041044577713,-0.43952602947000513,-8.487705202455212,-47.898718420855324
14,1.0462483097290498,-0.7816292051874726,-17.491158794085244,-8.948587363839193,3.393013564516161,-5.364392446317592,-3.083749156655668,-8.976710358165253,-5.927231001326365,-12.954706382420202,-1.3948945389137823,-0.26131136768946456,-1.8777698104626253,0.9838950297826159,-31.85970250824182,-3.1842811749639646,-8.45951258354753,5.023035475588916,-6.36167612128085,-58.34714558069677
